ticker,date,docs,avg_compound,pos_frac,neg_frac,volume_z,fwd_ret_1d,fwd_ret_3d
aapl.us,2025-12-27,4,0.1147,0.044,0.0,0.0,,
aapl.us,2025-12-28,6,-0.0917999999999999,0.0416666666666666,0.1585,1.0,,
aapl.us,2025-12-29,8,0.18785,0.079375,0.010625,1.224744871391589,,
aapl.us,2025-12-30,13,0.001976923076923,0.0501538461538461,0.0419230769230769,1.569613694779065,,
aapl.us,2025-12-31,10,0.14844,0.0798,0.0125,0.5761659596980321,,
aapl.us,2026-01-01,5,-0.1279999999999999,0.0248,0.1088,-1.18444612429575,,
aapl.us,2026-01-02,14,-0.07045,0.0669285714285714,0.0977142857142857,1.217161238900369,,
aapl.us,2026-01-03,7,0.0320285714285714,0.1137142857142857,0.0192857142857142,-0.8164965809277261,,
aapl.us,2026-01-04,19,0.0344736842105263,0.0173684210526315,0.0,1.5936381457791915,,
aapl.us,2026-01-05,16,0.06738125,0.048125,0.0164375,0.7110571291368639,,
aapl.us,2026-01-06,6,-0.0022,0.0246666666666666,0.0283333333333333,-1.259023160583414,,
aapl.us,2026-01-07,29,0.1079206896551724,0.0396206896551724,0.0055172413793103,1.6090449825530235,,
aapl.us,2026-01-08,25,0.167532,0.07236,0.0,0.7571316976876031,,
aapl.us,2026-01-09,25,0.048284,0.04332,0.0133599999999999,0.579703380475644,,
aapl.us,2026-01-10,13,0.1337999999999999,0.089,0.0,-0.7618992092903569,,
msft.us,2025-12-27,3,0.0,0.0,0.0,0.0,,
msft.us,2025-12-28,5,-0.0245399999999999,0.0578,0.1891999999999999,1.0,,
msft.us,2025-12-29,10,0.0096099999999999,0.11,0.0339,1.3587324409735149,,
msft.us,2025-12-30,16,0.0586125,0.0981875,0.0685,1.4925557853149838,,
msft.us,2025-12-31,29,0.1666241379310344,0.0918620689655172,0.0044827586206896,1.7538351649771249,,
msft.us,2026-01-01,7,0.0,0.0,0.0,-0.7407883752696309,,
msft.us,2026-01-02,19,0.0122631578947368,0.0428421052631578,0.0443157894736842,0.3646525827494363,,
msft.us,2026-01-03,29,0.2847724137931035,0.1092413793103448,0.0,1.0787924283421144,,
msft.us,2026-01-04,9,-0.1841777777777777,0.0,0.1053333333333333,-1.0196622927890098,,
msft.us,2026-01-05,15,0.1474666666666666,0.0756666666666666,0.0,-0.1017973197118576,,
msft.us,2026-01-06,7,-0.0533142857142857,0.0224285714285714,0.0498571428571428,-1.1197705168304326,,
msft.us,2026-01-07,13,0.046476923076923,0.0256923076923076,0.0111538461538461,-0.2068350759980076,,
msft.us,2026-01-08,19,-0.0440263157894736,0.0432105263157894,0.0554210526315789,1.4985372985307102,,
msft.us,2026-01-09,16,0.04385,0.03,0.0056875,0.4999999999999999,,
msft.us,2026-01-10,3,0.1953,0.0673333333333333,0.0,-1.4697097431030255,,
nvda.us,2025-12-27,18,0.1454722222222222,0.0922777777777777,0.0205555555555555,0.0,,
